Robert M. Haralick,314
Dov M. Gabbay,313
Michael Backes 0001,313
Tim Menzies,313
Daniel Lokshtanov,312
Dorothea Wagner,312
Frank Allgöwer,312
Gang Feng 0001,312
Hanan Samet,312
Ion Stoica,312
Neeraj Kumar 0001,312
P. Sadayappan,312
Robert K. Brayton,312
Tsachy Weissman,312
A. Murat Tekalp,311
Amir Hussain,311
Benjamin Doerr,311
Magnus Egerstedt,311
Mohammad Reza Aref,311
Sudip Misra,311
Susanne Boll,311
Sören Auer,311
Tie-Yan Liu,311
Wenwu Zhu 0001,311
Bernhard Thalheim,310
Chris D. Nugent,310
David P. Woodruff,310
Diane J. Cook,310
Kalle Lyytinen,310
Michael Mitzenmacher,310
Sebastian Thrun,310
Shyi-Ming Chen,310
Zahoor Ali Khan,310
Brad A. Myers,309
Eckehard G. Steinbach,309
Heng Tao Shen,309
HongJiang Zhang,309
James Lam,309
Jonathan Katz,309
Lie-Liang Yang,309
Longbing Cao,309
Mohammed Bennamoun,309
Touradj Ebrahimi,309
Wang-Chien Lee,309
C. Pandu Rangan,308
C. Siva Ram Murthy,308
Christos V. Verikoukis,308
Selim G. Akl,308
Xiaotie Deng,308
Zsolt Tuza,308
Alagan Anpalagan,307
Edmund M. Clarke,307
Jacob Benesty,307
Mitsuru Ishizuka,307
Stephen G. Kobourov,307
Andrew B. Whinston,306
Bertrand Meyer 0001,306
Chunyan Miao,306
Hans-Arno Jacobsen,306
Jiri Matas,306
Marianne Winslett,306
Wojciech Rytter,306
Yao-Wen Chang,306
Zakaria Maamar,306
Carlos José Pereira de Lucena,305
Jenq-Neng Hwang,305
Patrick Gallinari,305
Stefano Soatto,305
Stefano Tubaro,305
Ahmed E. Hassan,304
Derrick Wing Kwan Ng,304
Frank Stephan 0001,304
Karen O. Egiazarian,304
Rami G. Melhem,304
Tor Helleseth,304
Zoubin Ghahramani,304
Helge J. Ritter,303
Henning Fernau,303
Mihir Bellare,303
Tughrul Arslan,303
Andreas Holzinger,302
Carole A. Goble,302
Danny Z. Chen,302
Haiying Shen,302
Iain B. Collings,302
Robert Wille,302
Steve Benford,302
Syed Ali Jafar,302
Dragan Gasevic,301
Jon W. Mark,301
Khalid A. Qaraqe,301
Moni Naor,301
Petia Radeva,301
Richard T. Snodgrass,301
Wiro J. Niessen,301
Béla Bollobás,300
Charles J. Colbourn,300
Cheng-Zhong Xu 0001,300
Enrico Motta,300
Eyke Hüllermeier,300
Henk Corporaal,300
John Lygeros,300
Josep M. Guerrero,300
Klaus Jansen,300
Pin-Han Ho,300
Carlo Zaniolo,299
Jianmin Wang 0001,299
João Gama,299
Jun'ichi Tsujii,299
Nicola Santoro,299
Sebastian Möller 0001,299
Serge Abiteboul,299
Toru Ishida 0001,299
Volker Gruhn,299
Weili Wu,299
Boualem Benatallah,298
Bu-Sung Lee,298
Daniël Paulusma,298
David Gesbert,298
Dimos V. Dimarogonas,298
Franz Wotawa,298
Jehoshua Bruck,298
Romano Fantacci,298
Romeo Ortega,298
Roy H. Campbell,298
Xing Xie 0001,298
Alfons Kemper,297
Dieter Rautenbach,297
El-Ghazali Talbi,297
Kay Chen Tan,297
Satoshi Matsuoka,297
Shu-Ching Chen,297
Anna Scaglione,296
Elza Erkip,296
Kimon P. Valavanis,296
Martin Haardt,296
Mustafa Cenk Gursoy,296
Robert Endre Tarjan,296
Rupak Majumdar,296
Sahin Albayrak,296
Samarjit Chakraborty,296
Shin'ichi Satoh,296
Suhas N. Diggavi,296
Tanja Schultz,296
Cordelia Schmid,295
Ding-Zhu Du,295
Guoliang Xue,295
Jay F. Nunamaker Jr.,295
Noah A. Smith,295
Pietro Manzoni,295
Sébastien Tixeuil,295
Weiming Shen 0001,295
Alejandro F. Frangi,294
Chao-Tung Yang,294
Peter G. Neumann,294
Toyoaki Nishida,294
Yi Yang 0001,294
David Z. Pan,293
Douglas R. Stinson,293
Fabio Paternò,293
Jean-Philippe Thiran,293
Petar M. Djuric,293
Tei-Wei Kuo,293
Tsuyoshi Takagi,293
Yew-Soon Ong,293
Jun Wang 0002,292
Laxmikant V. Kalé,292
Massimiliano Di Penta,292
Meixia Tao,292
Mourad Debbabi,292
Petros Maragos,292
Rainer Stiefelhagen,292
Rajeev Alur,292
Rudolf Mathar,292
Sabine Van Huffel,292
Salem Benferhat,292
Timothy Baldwin,292
Wei-Ping Zhu,292
William W. Cohen,292
Arie E. Kaufman,291
Benoît Macq,291
David Harel,291
David R. Bull,291
Giuseppe De Giacomo,291
Guangquan Zhang 0001,291
Herbert Edelsbrunner,291
Marcos André Gonçalves,291
Miguel A. Vega-Rodríguez,291
Ravishankar K. Iyer,291
Sanguthevar Rajasekaran,291
U. Rajendra Acharya,291
Vojtech Rödl,291
Ahmed Bouridane,290
Arkady B. Zaslavsky,290
Arto Salomaa,290
Arye Nehorai,290
ChengXiang Zhai,290
Georges G. E. Gielen,290
Hamido Fujita,290
Ivan Damgård,290
Jeffrey Scott Vitter,290
Jelena V. Misic,290
Santanu Chaudhury,290
Surya Nepal,290
Birgit Vogel-Heuser,289
Deniz Erdogmus,289
Dirk T. M. Slock,289
Guojun Wang 0001,289
Joseph O'Rourke,289
Leah Epstein,289
Marcus Hutter,289
Xiuzhen Cheng,289
Antonio Plaza,288
Iadh Ounis,288
Kui Ren 0001,288
Moshe Tennenholtz,288
Stéphane Ducasse,288
A. Lee Swindlehurst,287
Cheng-Xiang Wang 0001,287
Debdeep Mukhopadhyay,287
Fabio Crestani,287
Gagan Agrawal,287
Madhu Sudan,287
Nitin H. Vaidya,287
Octavia A. Dobre,287
Ruzena Bajcsy,287
Vincenzo Loia,287
Carlo S. Regazzoni,286
Guang R. Gao,286
Jason H. Moore,286
Muhammad Khurram Khan,286
Vicenç Torra,286
Andreas Krause 0001,285
Antonio González 0001,285
Bhargab B. Bhattacharya,285
Burkhard Stiller,285
Guido Governatori,285
Junwei Han,285
Mark de Berg,285
Min Chen 0003,285
Sankar K. Pal,285
Sidney S. Fels,285
Stefan Woltran,285
Subbarao Kambhampati,285
Wenjun Zhang 0001,285
Alexander J. Smola,284
Bart De Moor,284
Dimitrios M. Thilikos,284
Donato Malerba,284
Hui Li 0006,284
Jeffrey Shallit,284
Junichi Yamagishi,284
Kang Zhang,284
Maurice Herlihy,284
Shervin Shirmohammadi,284
Stephen A. Brewster,284
Alan W. Black,283
André Kaup,283
Dieter Fox,283
Hongke Zhang,283
Juan-Carlos Cano,283
Kazuya Takeda,283
Risto Miikkulainen,283
Bart De Schutter,282
Christof Paar,282
Jaideep Srivastava,282
Jennifer Rexford,282
Marimuthu Palaniswami,282
Matti Pietikäinen,282
Robert D. Nowak,282
Rui L. Aguiar,282
Yiyu Yao,282
Danica Kragic,281
George Pavlou,281
Hermann A. Maurer,281
Hinrich Schütze,281
Mohamed S. Kamel,281
Visa Koivunen,281
John S. Thompson,280
Michael J. Franklin,280
Prashant J. Shenoy,280
Jon Atli Benediktsson,279
Junbin Gao,279
Tetsuya Ogata,279
Tian He 0001,279
Yonghong Yan 0002,279
Bing Liu 0001,278
Bingsheng He,278
Falko Dressler,278
François-Xavier Standaert,278
Grigoris Antoniou,278
Joachim Weickert,278
Jonathan Rodriguez 0001,278
Sanjay Jain 0001,278
Subhash Suri,278
Zhengyou Zhang,278
Aly A. Farag,277
Arjan Kuijper,277
Gerhard Widmer,277
Ilsun You,277
Jun Zhang 0003,277
Rajiv Gupta 0001,277
Randy H. Katz,277
Roberto Tamassia,277
Rocco A. Servedio,277
Volker Wulf,277
Yevgeni Koucheryavy,277
Anton Nijholt,276
Daniel Kroening,276
David A. Basin,276
Martin J. Wainwright,276
Pascal Hitzler,276
George Karypis,275
Hiroyuki Kitagawa,275
Hongzhi Wang,275
Ingrid Moerman,275
J. Ian Munro,275
Jean Vanderdonckt,275
John Shawe-Taylor,275
Junzhou Luo,275
Kensaku Mori,275
Li-Chun Wang 0001,275
Louis-Philippe Morency,275
Mathias Weske,275
Ravi Kumar 0001,275
Shi-Kuo Chang,275
Stefanos D. Kollias,275
Zhiwen Yu 0001,275
