Paola Inverardi,392,,,,,,,,,,,,,
Craig A. Knoblock,391,,,,,,,,,,,,,
David E. Keyes,391,,,,,,,,,,,,,
Giancarlo Fortino,391,,,,,,,,,,,,,
Marta Z. Kwiatkowska,391,,,,,,,,,,,,,
Ran Canetti,391,,,,,,,,,,,,,
Baruch Awerbuch,390,,,,,,,,,,,,,
Hausi A. Müller,390,,,,,,,,,,,,,
Joel Spencer,390,,,,,,,,,,,,,
Ricardo Baeza-Yates,390,,,,,,,,,,,,,
Xindong Wu 0001,390,,,,,,,,,,,,,
Elena Simperl,389,,,,,,,,,,,,,
Fedor V. Fomin,389,,,,,,,,,,,,,
Heiner Stuckenschmidt,389,,,,,,,,,,,,,
Jiri Matas,389,,,,,,,,,,,,,
Daniela Rus,387,,,,,,,,,,,,,
Karl Henrik Johansson,387,,,,,,,,,,,,,
Robert W. Heath Jr.,387,,,,,,,,,,,,,
Wendy Hall,387,,,,,,,,,,,,,
Martial Hebert,386,,,,,,,,,,,,,
Philippe Rocca-Serra,386,,,,,,,,,,,,,
Cathy H. Wu,385,,,,,,,,,,,,,
Kai-Uwe Sattler,384,,,,,,,,,,,,,
Karl J. Friston,384,,,,,,,,,,,,,
Manish Parashar,383,,,,,,,,,,,,,
Mohamed-Slim Alouini,383,,,,,,,,,,,,,
Nicola Ferro 0001,383,,,,,,,,,,,,,
Sue Whitesides,383,,,,,,,,,,,,,
Alfonso Valencia,382,,,,,,,,,,,,,
David A. Padua,382,,,,,,,,,,,,,
Giuseppe F. Italiano,382,,,,,,,,,,,,,
Martín Abadi,382,,,,,,,,,,,,,
Paul Lukowicz,382,,,,,,,,,,,,,
Rosa M. Badia,382,,,,,,,,,,,,,
Amos Fiat,381,,,,,,,,,,,,,
M. Tamer Özsu,381,,,,,,,,,,,,,
Sanjeev Khanna,381,,,,,,,,,,,,,
Alois Knoll,380,,,,,,,,,,,,,
Boris Aronov,380,,,,,,,,,,,,,
Changsheng Xu,380,,,,,,,,,,,,,
Samy Bengio,380,,,,,,,,,,,,,
Thomas G. Dietterich,380,,,,,,,,,,,,,
Axel Legay,379,,,,,,,,,,,,,
Christopher W. Geib,379,,,,,,,,,,,,,
Daniel Cremers,379,,,,,,,,,,,,,
Vipin Kumar,379,,,,,,,,,,,,,
Robert D. Finn,377,,,,,,,,,,,,,
Shafi Goldwasser,377,,,,,,,,,,,,,
Mani B. Srivastava,376,,,,,,,,,,,,,
Don Coppersmith,375,,,,,,,,,,,,,
Michael Luby,375,,,,,,,,,,,,,
Russell Impagliazzo,375,,,,,,,,,,,,,
Tobias Schreck,375,,,,,,,,,,,,,
Yevgeniy Dodis,375,,,,,,,,,,,,,
Antonio Bicchi,374,,,,,,,,,,,,,
Stephen G. Kobourov,374,,,,,,,,,,,,,
Wolfgang E. Nagel,374,,,,,,,,,,,,,
Xiaofang Zhou 0001,374,,,,,,,,,,,,,
Amos Bairoch,373,,,,,,,,,,,,,
Elizabeth F. Churchill,373,,,,,,,,,,,,,
Ferran Hurtado,373,,,,,,,,,,,,,
Judith A. Blake,373,,,,,,,,,,,,,
Marek Karpinski,373,,,,,,,,,,,,,
